时间,车流量,温度,湿度,气压,道路拥堵指数,车速(m/s)
2023/3/1 10:45,1787,16.32251857,39.42222291,101.2594231,0.351363119,6
2023/3/1 11:00,3270,21.07042097,68.86178973,101.6062905,0.527179513,8
2023/3/1 11:15,2630,18.23526758,41.48754386,100.5834504,0.517326838,7
2023/3/1 11:30,2751,10.47798262,47.37180628,101.6415035,0.676360979,7
2023/3/1 11:45,1836,13.39022675,57.06062884,101.8168923,0.437954554,8
2023/3/1 12:00,1916,17.50777364,48.49537618,101.0749382,0.685128957,8
2023/3/1 12:15,2018,20.18694939,63.11744608,101.0143156,0.657749722,8
2023/3/1 12:30,3026,16.54098006,68.2415239,102.3421864,0.529606561,8
2023/3/1 12:45,1549,16.57086434,53.31183444,101.4256204,0.519236261,8
2023/3/1 13:00,2430,1.594085127,57.58192615,101.7622665,0.515251598,8
2023/3/1 13:15,2985,19.57566362,33.46948287,101.0496921,0.332867365,8
2023/3/1 13:30,2281,17.24427265,64.77211858,100.608664,0.620644688,8
2023/3/1 13:45,2629,14.84146958,57.20444343,100.7710516,0.330498184,8
2023/3/1 14:00,2138,16.1203974,56.1932863,101.3670616,0.438193279,8
2023/3/1 14:15,2054,9.666903335,52.54918476,101.8735495,0.521466621,8
2023/3/1 14:30,2384,19.47402206,40.6570143,101.3967575,0.411407408,8
2023/3/1 14:45,3106,6.152798492,38.52086408,101.2369049,0.459169588,8
2023/3/1 15:00,2705,6.130818391,74.14347511,101.2401501,0.534246331,8
2023/3/1 15:15,3293,20.27719671,31.62971954,101.063773,0.661071129,7
2023/3/1 15:30,2269,10.2917898,40.83194882,101.6470319,0.338851438,7
2023/3/1 15:45,1897,18.97995616,60.27257,101.3248931,0.503274271,8
2023/3/1 16:00,3204,10.77453985,43.03316813,101.2219808,0.515310867,8
2023/3/1 16:15,2515,9.107271615,39.92247092,101.9671354,0.458082552,8
2023/3/1 16:30,1721,17.60512319,67.14922205,100.8740976,0.407173389,8
2023/3/1 16:45,2804,14.22036136,59.77415852,100.7843955,0.486819431,8
2023/3/1 17:00,2934,17.1513077,35.45923487,100.848754,0.550752769,8
2023/3/1 17:15,3197,13.5727116,47.7358064,100.6017513,0.270113541,9
2023/3/1 17:30,2281,13.83722296,56.47984709,101.1564211,0.418724788,10
2023/3/1 17:45,1939,14.90173055,59.18926882,101.2302676,0.605701876,9
2023/3/1 18:00,2542,17.82848234,51.47461035,101.3706429,0.475074656,9
2023/3/1 18:15,3112,20.20650266,32.67354569,100.4946689,0.468935121,8
2023/3/1 18:30,2557,11.10467425,36.46147242,101.1826925,0.513111613,8
2023/3/1 18:45,2414,19.42083261,51.26254448,101.1592841,0.572146996,8
2023/3/1 19:00,1515,4.613010702,44.95622609,101.5997488,0.487606685,8
2023/3/1 19:15,1530,13.20217406,60.4470788,101.3716389,0.594446762,8
2023/3/1 19:30,1908,18.19871878,46.15753198,101.3861184,0.512940629,8
2023/3/1 19:45,3234,17.99863331,48.86813809,101.8568763,0.598562324,8
2023/3/1 20:00,2911,14.50772999,36.62008944,101.701324,0.621895154,8
2023/3/1 20:15,2405,13.92766001,48.84982836,101.6215235,0.528886518,9
2023/3/1 20:30,3169,17.48332296,71.4256112,101.3037022,0.51643928,9
2023/3/1 20:45,2907,5.916793203,59.35877606,100.6223138,0.419040287,9
2023/3/1 21:00,2290,9.046928751,48.6326279,101.2431749,0.594403947,9
2023/3/1 21:15,3335,16.15024071,64.10531367,100.6225743,0.432628253,9
2023/3/1 21:30,2851,15.73105928,64.54061259,101.7794471,0.349347719,8
2023/3/1 21:45,2236,13.57223475,63.3558931,101.1681191,0.459819454,8
2023/3/1 22:00,3389,14.14779719,59.26640398,102.0238418,0.490557488,9
2023/3/1 22:15,3116,24.44235689,48.03390083,101.2605037,0.470246387,10
2023/3/1 22:30,2723,8.329464797,56.85129445,102.1718212,0.679418427,10
2023/3/1 22:45,1866,1.873129238,44.91992207,101.9477699,0.528495592,9
2023/3/1 23:00,3232,13.14155512,64.57729453,101.2175269,0.265926123,9
2023/3/1 23:15,2198,17.35902831,56.39086831,101.0546467,0.487054289,9
2023/3/1 23:30,2881,17.08161089,50.43607433,101.8046232,0.421130667,9
2023/3/1 23:45,1891,19.09691638,52.93688875,101.0941691,0.481040417,9
2023/3/2 0:00,2898,17.41532476,39.31859095,100.1091719,0.314690941,10
2023/3/2 0:15,2789,13.40534832,58.77250953,101.5478616,0.426750819,9
2023/3/2 0:30,2465,8.329672022,54.22545427,101.8263151,0.631668538,9
2023/3/2 0:45,1905,13.07856042,51.59764676,101.1872518,0.570270256,8
2023/3/2 1:00,1857,15.49726955,59.15374071,101.3050056,0.438416187,8
2023/3/2 1:15,1909,21.61800854,62.41198513,101.6920865,0.346886624,10
2023/3/2 1:30,2873,12.03485379,46.87758486,101.7535221,0.501044078,9
2023/3/2 1:45,2033,23.82095395,48.91348999,100.7933976,0.412871846,9
2023/3/2 2:00,1624,5.409836103,52.87469109,100.8909686,0.613312067,9
2023/3/2 2:15,2695,12.86574916,46.99787368,101.7695545,0.496453468,8
2023/3/2 2:30,2747,21.82344636,44.25686066,101.8090609,0.358824392,8
2023/3/2 2:45,1627,11.63872733,47.74855489,101.3168067,0.486231216,9
2023/3/2 3:00,2370,15.38132236,53.38280838,102.0085404,0.435591691,9
2023/3/2 3:15,2765,18.95922763,50.625103,101.5202575,0.385046943,9
2023/3/2 3:30,3420,9.375524956,36.48955717,101.0897186,0.507782996,10
2023/3/2 3:45,2190,14.34550526,52.10415377,101.5241297,0.472306318,10
2023/3/2 4:00,2590,10.98452233,53.85697159,101.5956418,0.598897319,9
2023/3/2 4:15,2251,14.05586625,64.31623561,100.9735586,0.547423924,10
2023/3/2 4:30,3208,4.010032878,36.12391108,100.9842565,0.529910745,10
2023/3/2 4:45,2138,22.5141187,49.61133597,101.7885431,0.59254013,10
2023/3/2 5:00,2469,19.30587663,47.07698589,102.003181,0.393883777,10
2023/3/2 5:15,3375,6.648722773,39.70954035,101.2867529,0.472149337,9
2023/3/2 5:30,3167,13.44635934,61.86501619,100.8246474,0.40413802,9
2023/3/2 5:45,2654,15.8274049,40.7843056,101.8647602,0.528513215,9
2023/3/2 6:00,1545,13.20590065,64.45122465,101.0747855,0.384519239,8
2023/3/2 6:15,1548,13.180665,42.9689521,101.0414217,0.494387494,8
2023/3/2 6:30,1517,15.58203035,59.51005168,101.8962571,0.397777665,8
2023/3/2 6:45,1917,15.75985388,43.48354008,102.2091255,0.476164825,8
2023/3/2 7:00,2814,16.76009316,40.07466034,101.5451769,0.519504796,8
2023/3/2 7:15,3409,22.79196142,40.58144677,101.9359938,0.492013966,8
2023/3/2 7:30,2044,15.47369706,52.36167743,101.3964586,0.562943664,8
2023/3/2 7:45,2484,15.83985316,52.1720167,102.0151842,0.410007775,8
2023/3/2 8:00,2457,12.6892797,46.60033874,101.9043677,0.347807194,9
2023/3/2 8:15,3338,13.06923316,78.12906189,102.0196705,0.421993311,10
2023/3/2 8:30,2036,12.31976577,51.83687757,101.1170955,0.436938478,10
2023/3/2 8:45,3202,19.72970428,57.04755952,101.0117178,0.428998484,12
2023/3/2 9:00,2069,12.43595754,45.13050349,101.5497872,0.446840593,12
2023/3/2 9:15,2180,17.00804971,36.67156908,100.9654329,0.475926814,11
2023/3/2 9:30,3489,21.45779541,46.0199672,102.0834401,0.521420392,12
2023/3/2 9:45,3269,7.92556189,41.51302522,100.7652432,0.507904431,12
2023/3/2 10:00,2631,16.99029651,39.83410535,100.5592774,0.521142521,11
2023/3/2 10:15,1679,15.23731936,55.36809868,101.5172727,0.653113648,11
2023/3/2 10:30,3188,9.42008272,51.60591024,100.9601879,0.361210772,10
2023/3/2 10:45,2486,11.24757338,48.1954907,101.0324504,0.507703549,11
2023/3/2 11:00,2876,8.57642348,47.24809397,101.0720445,0.695567482,10
2023/3/2 11:15,2586,11.11155683,57.04869949,101.4038788,0.570722265,9
2023/3/2 11:30,3078,7.57479343,46.42662975,101.8400451,0.569907227,10
2023/3/2 11:45,2707,24.18700726,52.83014851,102.080018,0.411586319,10
2023/3/2 12:00,3045,16.76289209,60.69683651,101.1955486,0.569028665,10
2023/3/2 12:15,3167,11.26241995,51.4815873,102.5673127,0.516952447,10
2023/3/2 12:30,2349,14.7890828,36.58637414,100.5598606,0.390755621,9
2023/3/2 12:45,3222,23.08751657,41.36912584,101.6741576,0.664239822,10
2023/3/2 13:00,2954,14.34751964,50.80023643,100.7602893,0.628096391,10
2023/3/2 13:15,1555,7.447004949,45.36517342,100.9888573,0.430181055,9
2023/3/2 13:30,3327,11.63824331,57.82943989,101.0520202,0.346695303,10
2023/3/2 13:45,2856,5.870254277,69.81478463,100.9749584,0.589561119,9
2023/3/2 14:00,2965,19.71582882,44.29031105,100.5771692,0.453138198,9
2023/3/2 14:15,2827,13.41523788,33.68335851,101.079986,0.460183701,9
2023/3/2 14:30,2763,13.54715167,55.54405806,102.0434499,0.645566996,10
2023/3/2 14:45,2185,16.29134135,54.898068,101.0595227,0.5051045,11
2023/3/2 15:00,3123,26.04555285,54.25937808,101.2527752,0.386855815,10
2023/3/2 15:15,2284,11.32555516,65.24869742,100.7051023,0.485854287,9
2023/3/2 15:30,1664,11.56230991,35.10240725,101.9705717,0.468621925,9
2023/3/2 15:45,3445,13.06778344,49.89792506,101.0385703,0.57415005,9
2023/3/2 16:00,2412,15.81753698,75.15914546,100.8435065,0.515974915,9
2023/3/2 16:15,3368,17.58036066,29.32064469,101.4498571,0.57845344,9
2023/3/2 16:30,3166,24.46534146,51.66352225,101.615113,0.586802162,9
2023/3/2 16:45,3345,15.7713959,33.66917874,100.6956139,0.314181575,9
2023/3/2 17:00,3056,14.14953805,43.02313569,100.9069718,0.413431798,9
2023/3/2 17:15,2770,17.23393588,43.05641715,100.7462161,0.258304692,10
2023/3/2 17:30,2801,15.24622812,71.25276693,102.4467338,0.459650615,9
2023/3/2 17:45,1612,16.56011827,47.99422542,101.4183446,0.584764814,10
2023/3/2 18:00,3311,9.151177158,50.881933,101.6962617,0.520366821,10
2023/3/2 18:15,2730,17.19995008,30.15679413,101.201745,0.641287991,10
2023/3/2 18:30,3091,21.78636792,49.0690076,101.9882836,0.387945936,12
2023/3/2 18:45,2895,19.45508594,51.32984144,101.3112936,0.277126021,11
2023/3/2 19:00,2215,19.2445334,42.23913105,101.2760067,0.481073635,10
2023/3/2 19:15,2438,7.305490695,68.9278006,101.1885341,0.389718227,10
2023/3/2 19:30,2265,15.25927575,54.57755026,101.51775,0.417301609,10
2023/3/2 19:45,2885,11.91674044,54.02418854,101.2605245,0.528888972,11
2023/3/2 20:00,2839,19.30391118,49.1269466,101.6391852,0.569141323,11
2023/3/2 20:15,3306,17.77348524,51.60152445,100.5525454,0.463316379,11
2023/3/2 20:30,2295,22.33667449,54.34193706,101.4464728,0.548946868,11
2023/3/2 20:45,2424,10.28033033,53.44991273,101.1848721,0.327039807,12
2023/3/2 21:00,1890,13.50187457,35.57594516,101.5656962,0.553619485,12
2023/3/2 21:15,1845,15.37482711,51.01503337,101.0605151,0.459968603,12
2023/3/2 21:30,2168,18.14217086,40.11738419,101.9133555,0.434286024,12
2023/3/2 21:45,1530,12.09380414,48.69251996,101.4729271,0.405157729,12
2023/3/2 22:00,3199,10.46841783,52.62575682,101.6167933,0.484171952,12
2023/3/2 22:15,2832,12.04456058,62.45420918,102.164513,0.624584909,12
2023/3/2 22:30,2869,14.39933579,54.99872068,101.5997744,0.328168793,11
2023/3/2 22:45,3460,10.38855774,61.07029229,100.8371769,0.287862964,11
2023/3/2 23:00,2464,14.30526171,49.59376355,102.4728198,0.406180911,11
2023/3/2 23:15,2861,17.9553902,59.67105284,101.1611969,0.448719877,11
2023/3/2 23:30,3351,19.01312945,68.15162644,100.6419203,0.566238564,11
2023/3/2 23:45,2852,17.46366937,52.51512778,101.0455978,0.540849062,22
2023/3/3 0:00,1543,13.88371183,62.62189188,101.395104,0.559899535,21
2023/3/3 0:15,2426,11.05629819,72.88892102,102.1259071,0.41343174,21
2023/3/3 0:30,2207,8.878163008,41.53675106,100.9494653,0.616872845,21
2023/3/3 0:45,2845,17.09787559,30.47021411,100.4629953,0.555044682,20
2023/3/3 1:00,2262,24.04091517,46.87695928,101.2085679,0.356757258,19
2023/3/3 1:15,2198,18.29900767,49.66030959,101.3020189,0.456294856,20
2023/3/3 1:30,1849,13.24775802,44.9580695,101.0439907,0.593765982,19
2023/3/3 1:45,2342,17.51616795,48.9423557,101.7805937,0.588828824,19
2023/3/3 2:00,3408,4.470227012,49.58358002,102.052387,0.399200016,19
2023/3/3 2:15,2048,19.67137871,52.98811619,101.8451426,0.50935027,18
2023/3/3 2:30,2475,19.42857868,43.32193451,101.0516031,0.479358933,18
2023/3/3 2:45,3458,17.39887655,62.96430606,100.8823705,0.54578824,17
2023/3/3 3:00,2489,19.52654657,40.94628873,101.4135224,0.337454106,16
2023/3/3 3:15,1899,12.40325154,51.60567123,102.1753028,0.366115738,16
2023/3/3 3:30,3123,21.00473158,49.89134996,101.3851996,0.728950044,17
2023/3/3 3:45,1734,15.01601539,44.78340013,101.3002468,0.430463879,16
2023/3/3 4:00,3197,13.71530729,44.28922804,100.9845063,0.598175713,16
2023/3/3 4:15,2469,3.628612436,50.73269059,101.7508856,0.51645079,16
2023/3/3 4:30,1558,9.956413372,42.80734787,102.2752104,0.562439273,16
2023/3/3 4:45,3272,18.15164562,38.99683795,101.6518891,0.605885374,16
2023/3/3 5:00,2875,13.11662465,45.62496783,101.3216201,0.611000828,15
2023/3/3 5:15,3210,8.665265949,44.87479687,101.2156384,0.344806042,15
2023/3/3 5:30,1995,12.19601314,41.16502444,101.8278248,0.331890086,14
2023/3/3 5:45,1579,22.5645269,62.41646494,101.3741362,0.484732595,14
2023/3/3 6:00,1810,22.55705905,45.4071544,101.2235676,0.604304312,15
2023/3/3 6:15,1705,15.74340841,73.67516506,101.5249112,0.591955156,15
2023/3/3 6:30,3254,10.64828876,60.9733007,101.0397077,0.71836856,15
2023/3/3 6:45,3089,18.26642271,66.24755562,102.2625318,0.454911217,15
2023/3/3 7:00,3070,24.95071642,50.53541394,100.9857204,0.484503054,15
2023/3/3 7:15,1622,18.34023757,41.04468779,101.5958185,0.41900824,15
2023/3/3 7:30,2910,20.17393128,37.47567359,101.2471545,0.480374311,15
2023/3/3 7:45,3273,17.68205142,48.86191898,101.6977038,0.54028042,15
2023/3/3 8:00,2390,6.741044389,42.27087508,101.2081022,0.336120362,14
2023/3/3 8:15,1830,20.77706844,50.60627868,101.0602119,0.557426338,14
2023/3/3 8:30,2490,12.21169839,44.67116559,101.2923408,0.478153055,14
2023/3/3 8:45,3441,14.284512,52.11681821,101.6945445,0.442796939,14
2023/3/3 9:00,1814,21.61300384,47.45205575,100.9877846,0.497709228,14
2023/3/3 9:15,2364,7.915949401,29.92297273,101.1838881,0.562587157,15
2023/3/3 9:30,3316,18.09895611,64.99991919,100.6925857,0.67487208,14
2023/3/3 9:45,3431,23.34110157,53.16358686,101.634591,0.585416808,14
2023/3/3 10:00,2827,19.11713369,45.23462543,100.0180248,0.479693972,14
2023/3/3 10:15,2310,19.36564239,31.36002682,101.3735642,0.500906955,15
2023/3/3 10:30,1878,24.94706868,44.19262985,101.8266156,0.474500445,15
2023/3/3 10:45,2735,14.36286129,43.83673731,100.3153938,0.650560399,15
2023/3/3 11:00,1623,16.08618737,48.05515399,100.4263377,0.551833302,15
2023/3/3 11:15,2948,12.78620021,59.55474482,101.8005785,0.58992667,15
2023/3/3 11:30,2855,13.89286447,50.71730837,101.3026554,0.456006075,15
2023/3/3 11:45,1517,10.51157038,62.20093097,100.0170463,0.312564744,15
2023/3/3 12:00,2863,8.756048205,42.54702805,101.6457584,0.52752607,15
2023/3/3 12:15,3247,16.05354713,63.13708972,101.1212517,0.370994328,15
2023/3/3 12:30,3351,18.06578,42.17717629,101.902744,0.588400079,15
2023/3/3 12:45,1774,19.48306261,48.40124139,101.0187233,0.566408052,15
2023/3/3 13:00,1781,13.17944229,34.29039376,101.1719014,0.46051327,15
2023/3/3 13:15,2631,15.39991085,51.27486213,101.0789163,0.635137948,15
2023/3/3 13:30,3300,7.516985301,55.74761436,101.5740988,0.616809799,15
2023/3/3 13:45,2435,12.52059112,35.98545294,100.8995559,0.45106123,14
2023/3/3 14:00,1997,18.17125263,37.52296906,101.111227,0.260429332,15
2023/3/3 14:15,1509,6.798910341,38.32493694,102.3197329,0.577305811,15
2023/3/3 14:30,2956,21.6666123,42.25708257,101.0415522,0.607132912,15
2023/3/3 14:45,3498,20.66831315,49.18074908,100.7962286,0.567906237,15
2023/3/3 15:00,3103,10.71069491,55.05554508,101.2741761,0.566600236,15
2023/3/3 15:15,2574,10.61097452,45.75815714,101.3651577,0.365097246,15
2023/3/3 15:30,2449,12.38092891,44.33632565,101.4533093,0.354779929,15
2023/3/3 15:45,1822,20.37186994,51.46688306,100.7598493,0.498350671,15
2023/3/3 16:00,2741,3.395460346,55.88256173,101.6084544,0.564211948,15
2023/3/3 16:15,3060,2.937536027,59.78854037,101.4074677,0.552748663,14
2023/3/3 16:30,2533,20.55034699,44.72063112,102.3424735,0.6396386,15
2023/3/3 16:45,3363,14.81526913,46.09896378,101.4889876,0.379811487,15
2023/3/3 17:00,2991,21.87352004,38.83444941,101.3588014,0.570735386,15
2023/3/3 17:15,3181,15.7564649,67.68332517,101.2968754,0.595661007,15
2023/3/3 17:30,3176,16.67680207,46.34696543,100.2913905,0.508187028,15
2023/3/3 17:45,3333,17.63903135,56.51855508,100.4164252,0.364414522,15
2023/3/3 18:00,2398,20.56743426,52.09654787,102.2350809,0.437008442,14
2023/3/3 18:15,1722,5.086514832,44.4428459,101.5172579,0.412578003,14
2023/3/3 18:30,2381,8.499138906,39.01640216,101.9670757,0.462101538,15
2023/3/3 18:45,2172,13.38108699,36.66787956,101.9294979,0.630999155,15
2023/3/3 19:00,1601,21.42348836,65.04550028,101.1655297,0.678074054,15
2023/3/3 19:15,1660,13.7349495,58.50068687,101.3113483,0.312289609,14
2023/3/3 19:30,2269,21.9873284,37.8126687,101.7559094,0.466430298,14
2023/3/3 19:45,1679,18.76124149,41.43487674,101.765019,0.442996143,14
2023/3/3 20:00,1814,10.79179673,56.42601088,100.3949489,0.296489724,14
2023/3/3 20:15,2200,13.03982422,41.2388352,101.3999419,0.359152913,14
2023/3/3 20:30,2932,22.45068893,64.14586452,101.6988151,0.519985363,15
2023/3/3 20:45,1510,11.08674574,47.44801445,102.0683983,0.426302761,15
2023/3/3 21:00,2181,11.22280624,34.33976394,100.9930933,0.463054955,15
2023/3/3 21:15,1523,13.5016399,37.08719863,101.496099,0.453812972,15
2023/3/3 21:30,2194,6.28602489,44.18193179,101.4070338,0.492925515,15
2023/3/3 21:45,1871,14.36281776,29.27710087,101.8733189,0.670278892,14
2023/3/3 22:00,3413,24.2019501,39.52144076,100.8709131,0.481871585,14
2023/3/3 22:15,3471,19.39109197,36.92010979,101.8503644,0.334481478,14
2023/3/3 22:30,3241,17.30661752,49.48748397,101.8438213,0.427351212,14
2023/3/3 22:45,2900,21.16513983,51.33987097,101.4206658,0.583555113,14
2023/3/3 23:00,2029,20.25361678,55.73733383,101.4365794,0.371399355,14
2023/3/3 23:15,3366,9.802454528,45.54765147,100.9309492,0.435479884,14
2023/3/3 23:30,2831,24.88524232,32.638503,101.3356447,0.573695733,14
2023/3/3 23:45,2447,12.73129043,45.99422926,101.5658746,0.62381386,14
2023/3/4 0:00,2544,22.21775117,45.55333283,101.4595121,0.497970813,14
2023/3/4 0:15,1554,12.23706611,47.27134777,101.0098307,0.458081914,14
2023/3/4 0:30,1822,12.2279896,39.47789238,102.2151641,0.489252972,14
2023/3/4 0:45,2866,12.74226762,60.60113645,100.7951454,0.605194357,14
2023/3/4 1:00,1911,13.57685225,54.74080241,101.5211743,0.414553789,14
2023/3/4 1:15,2574,9.932245249,49.08920549,100.5153151,0.624358407,14
2023/3/4 1:30,2634,16.95313593,56.58353087,101.1541714,0.453065506,14
2023/3/4 1:45,2632,10.97479366,39.79386766,100.7926808,0.610680421,14
2023/3/4 2:00,3021,6.437919225,71.64244908,101.8400986,0.410110743,14
2023/3/4 2:15,3391,16.30083544,31.63242587,101.6713793,0.688066522,14
2023/3/4 2:30,1762,17.0391394,54.12672272,101.3846042,0.604241603,15
2023/3/4 2:45,1994,4.516509615,38.93795796,101.5379627,0.492084317,15
2023/3/4 3:00,3154,16.90410786,34.40540591,101.3807767,0.530803681,15
2023/3/4 3:15,2278,16.44232274,26.66552174,101.4837998,0.669575091,15
2023/3/4 3:30,2615,12.59582011,40.5563427,101.3345337,0.507050613,15
2023/3/4 3:45,2117,7.808118234,64.05886023,101.5574909,0.353504965,16
2023/3/4 4:00,2734,15.54515584,56.9543832,101.9469859,0.488120688,17
2023/3/4 4:15,2783,8.568282511,44.88713425,101.4291431,0.596790536,16
2023/3/4 4:30,2681,16.41184949,58.87091498,101.5355135,0.616972511,18
2023/3/4 4:45,2592,9.959728065,41.27948928,101.2894972,0.235578087,17
2023/3/4 5:00,3298,11.58719033,47.57886727,101.2061047,0.305452138,17
2023/3/4 5:15,2216,17.39608733,60.75674231,102.2375346,0.721328621,18
2023/3/4 5:30,1919,18.53380876,42.26169914,101.5073903,0.417047992,16
2023/3/4 5:45,2360,14.03954547,42.0781014,101.2522315,0.502715454,15
2023/3/4 6:00,3432,8.374291746,39.23531077,101.1136908,0.478390578,17
2023/3/4 6:15,2668,19.64184532,62.86003916,101.3233599,0.310548531,16
2023/3/4 6:30,2594,19.01514856,57.58337164,101.1372662,0.518101103,15
2023/3/4 6:45,1885,11.87434214,64.82509411,101.5666227,0.620553556,15
2023/3/4 7:00,3003,12.90688472,48.41530455,101.8221799,0.417760391,14
2023/3/4 7:15,1653,15.34776596,42.11779798,100.5034409,0.53718691,14
2023/3/4 7:30,3333,13.87872801,50.31897152,100.8869357,0.449189866,14
2023/3/4 7:45,2376,23.22461702,57.17841249,103.0354438,0.576023956,14
2023/3/4 8:00,2553,22.06839691,37.32162054,101.1574058,0.359649196,16
2023/3/4 8:15,3235,7.859786125,42.51400907,102.3236734,0.555822278,19
2023/3/4 8:30,1765,11.02472787,55.71304604,101.1357054,0.63924767,19
2023/3/4 8:45,3369,13.39974054,62.70660164,100.7513824,0.300656901,16
2023/3/4 9:00,1823,20.76489954,66.31584417,101.6333191,0.528328504,16
2023/3/4 9:15,3187,9.101100765,53.60181815,100.4355212,0.584888509,16
2023/3/4 9:30,3335,15.53855944,63.68040885,100.9894303,0.523971722,14
2023/3/4 9:45,3164,14.64386031,47.84712376,101.2915196,0.631348622,14
2023/3/4 10:00,2585,13.50265899,45.51196653,101.4128543,0.55033248,15
2023/3/4 10:15,2381,20.6864327,54.15514303,100.6488091,0.514796782,16
2023/3/4 10:30,3419,9.062318746,47.25102119,100.7860163,0.426095515,16
2023/3/4 10:45,2505,18.85405884,50.58987666,101.0314934,0.368509963,16
2023/3/4 11:00,1872,7.99058914,52.49983542,101.8508558,0.378266136,17
2023/3/4 11:15,2670,17.23240459,44.43671176,101.7629637,0.308176322,17
2023/3/4 11:30,3201,17.52480529,53.55723604,101.9807793,0.349271091,17
2023/3/4 11:45,2157,7.056983403,56.84733387,101.7273549,0.433909361,18
2023/3/4 12:00,2631,18.28492736,48.59249385,101.368658,0.541193289,19
2023/3/4 12:15,1993,11.18799945,37.8095174,100.9679754,0.334817508,18
2023/3/4 12:30,2181,14.8944577,45.55510353,101.30661,0.460162762,17
2023/3/4 12:45,2071,9.697464966,53.61582001,101.562143,0.469491703,18
2023/3/4 13:00,1719,12.25042414,57.91805849,100.6626585,0.426132536,20
2023/3/4 13:15,2848,14.56584984,48.59302108,101.3463013,0.492738644,20
2023/3/4 13:30,3022,13.73746591,49.38859177,100.8584673,0.483151646,20
2023/3/4 13:45,3033,23.16602918,44.13885231,101.6613514,0.542808255,19
2023/3/4 14:00,2191,8.235833203,58.21115592,101.5822375,0.401011026,18
2023/3/4 14:15,2807,22.35497305,42.52982893,101.4164603,0.484764943,19
2023/3/4 14:30,3062,19.89013466,49.94002867,102.0059679,0.526817925,18
2023/3/4 14:45,3097,17.42267191,63.33569748,102.1422186,0.397174489,18
2023/3/4 15:00,2810,20.9068794,38.21906601,100.889607,0.523841529,17
